Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
La Comer,363,363 CITY MARKET PILARES,19.3790126,-99.1695738,4,8
La Comer,423,423 FRESKO MIGUEL ANGEL DE QUEVEDO,19.3428181,-99.1464849,4,8
La Comer,287,287 LA COMER COYOACAN,19.3451402,-99.1718753,4,8
La Comer,420,420 LA COMER INSURGENTES,19.3664,-99.1822682,4,8
La Comer,431,431 LA COMER DEL VALLE,19.3754266,-99.1672455,4,8
La Comer,237,237 SUMESA CENTENARIO,19.3576604,-99.1630365,4,8
Nutrisa,12001,AV. UNIVERSIDAD # 1894 COL. OXTOPULCO UNIVERSIDAD CP. 4350 DEL. O MPIO. ALVARO OBREGÓN,19.341832,-99.181451,1,8
Nutrisa,12016,AV. UNIVERSIDAD # 1000 COL. SANTA CRUZ ATOYAC CP. 3310 DEL. O MPIO. BENITO JUÁREZ,19.3670932,-99.1659742,1,8
Nutrisa,12075,CALZADA DEL HUESO # 670 COL. FRACCIONAMIENTO LOS ROBLES CP. 4940 DEL. O MPIO. COYOACÁN,19.3437444,-99.1561883,1,8
Nutrisa,12107,AV. UNIVERSIDAD # 740 COL. SANTA CRUZ ATOYAC CP. 3310 DEL. O MPIO. BENITO JUÁREZ,19.3732069,-99.1623941,1,8
Nutrisa,12130,CALLE 10 # 132 COL. SAN PEDRO DE LOS PINOS CP. 1180 DEL. O MPIO. ALVARO OBREGÓN,19.3896383,-99.1918946,1,8
Nutrisa,12131,AV. POPOCATEPETL # 546 COL. XOCO CP. 3340 DEL. O MPIO. BENITO JUÁREZ,19.362511,-99.1663731,1,8
Nutrisa,12238,UBICADA EN MIGUEL A. DE QUEVEDO # 443 COL. ROMERO DE TERREROS CP. 4310 DEL. O MPIO. COYOACÁN,19.34301,-99.14906,1,8
Nutrisa,12716,BLVD. ADOLFO LÓPEZ MATEOS # 1701 COL. UNIDAD HABITACIONAL LOMAS DE PLATEROS CP. 1480 DEL. O MPIO. ALVARO OBREGÓN,19.3575148,-99.1952409,1,8
Nutrisa,12794,AV. REVOLUCIÓN # 1267 # 1267 COL. LOS ALPES CP. 1040 DEL. O MPIO. ALVARO OBREGÓN,19.3610905,-99.1897619,1,8
Nutrisa,12996,"Av. Real Mayorazgo 130, Col. Xoco, Benito Juárez, CP 03330. CDMX / 2do nivel",19.3608752,-99.1698638,1,8
Nutrisa,13124,ANILLO PERIFERICO SUR # 5550 COL. COLONIA AJUSCO CP. 4700 DEL. O MPIO. COYOACÁN,19.3215486,-99.1608372,1,8
Nutrisa,13220,AV. UNIVERSIDAD # 1778 COL. ROMERO DE TERRENOS CP. 4360 DEL. O MPIO. COYOACÁN,19.3445113,-99.1807782,1,8
Walmart Mexico,1083,1083 SC PORTAL SAN ANGEL,19.3673277,-99.1888584,6,8
Walmart Mexico,2430,2430 SC COPILCO,19.3382654,-99.1842526,6,8
Walmart Mexico,2766,2766 WE FELIX CUEVAS,19.3730258,-99.1728738,6,8
Walmart Mexico,2829,2829 SP CALZADA DE LOS LEONES,19.3577363,-99.197996,6,8
Walmart Mexico,3479,3479 WE POPOCATEPETL,19.36588,-99.1669431,6,8
Walmart Mexico,3810,3810 WE SENA,19.3448669,-99.1351599,6,8
Walmart Mexico,3811,3811 WE HORACIO,19.3448669,-99.1351599,6,8
Walmart Mexico,3818,3818 WE REVOLUCION,19.3649804,-99.1895317,6,8
Walmart Mexico,3819,3819 WE DEL VALLE,19.3818281,-99.1625887,6,8
Walmart Mexico,3828,3828 WE LOS MORALES,19.3445576,-99.1562025,6,8
Walmart Mexico,5462,5462 WE LORETO,19.3416616,-99.1913963,6,8
